PS_Station,Accomm_Status
"Cement-Aditya Cement Works, Shambupura",0
"Cement-Awarpur Cement Works, Chandrapur",0
"Cement-Birla White Cements, Jodhpur",0
"Cement-Hirmi Cement Works, Simga",0
"Cement-Manikgarh CEMENT, Chandrapur",0
"Cement-Rajshree Cement, Malkhed",0
"Cement-Rawan Cement Works, Raipur",0
"Cement-Reddipalayam Cement Works, Reddipalayam",0
"Cement-The Ramco Cements Ltd., Jaggayapet",0
"Cement-Ultratech Cement Limited, Amreli",0
"Cement-Ultratech Cement Limited, Jafrabad",0
"Cement-Ultratech Cement Limited, Kovaya",0
"Cement-Ultratech Cement Limited, Tadpathri",0
"Cement-Ultratech Cement Ltd., Kotputli",0
"Cement-UltraTech Cement, Jaggiyapet",0
"Cement-Vikram Cement Works, Neemuch",0
"Chemical-Aditya Birla Science & Technology, Mumbai",0
"Chemical-Aditya Cement Works, Chittorgarh",0
"Chemical-Bharat Petroleum Corporation Ltd., Greater noida",0
"Chemical-Birla Carbon India Pvt. Ltd., Renukoot",0
"Chemical-Birla Cellulosic, Bharuch",0
"Chemical-Birla Polyfibers, Harihar",0
"Chemical-Century Rayon, Mumbai",0
"Chemical-Gauhati Refinery, Gauhati",0
"Chemical-Grasim Chemicals, Nagda",0
"Chemical-Grasim Industries, Nagda",0
"Chemical-Gujarat Environment Management Institute, Gandhinagar",0
"Chemical-Gupta Agro Industries, Karnal",0
"Chemical-Henkel Loctite, Mumbai",0
"Chemical-Hindustan Petroleum Corporation Limited, Mumbai",0
"Chemical-Hindustan Petroleum Corporation Limited, Visakhapatnam",0
"Chemical-Hindustan Petroleum Corporation Ltd., Bahadurgarh",0
"Chemical-Strides Chemicals Pvt. Ltd., Mumbai",0
"Chemical-Vasant Chemicals Private Limited, Hyderabad",0
"Electronics  -AlphaICs India Pvt. Ltd., Bangalore",0
"Electronics  -Aurangabad Electricals, Aurangabad",0
"Electronics  -Eclipse Instrumentation Pvt. Ltd., Thane",0
"Electronics  -Efftronics Systems Pvt. Ltd., Vijayawada",0
"Electronics  -Faregeo Technologies, Bangalore",0
"Electronics  -H.B.L. Power Systems Ltd., Hyderabad",0
"Electronics  -Power Grid Corporation of India Limited, Bangalore",0
"Electronics  -Power Grid Corporation of India Limited, Hyderabad",0
"Electronics  -Power Grid Corporation of India, Gurgaon",0
